S.No,Scores,Grades,Pattern,Learning Speed,Subjects,Revision Habits,Final Marks
651,58,B,Consistent,Average,History,N,53
652,77,C,Consistent,Slow,Science,Y,92
653,80,D,Improving,Average,History,N,81
654,57,B,Consistent,Average,History,Y,48
655,35,A,Consistent,Fast,English,Y,37
656,40,B,Declining,Fast,History,Y,44
657,79,C,Improving,Slow,English,N,75
658,46,B,Declining,Fast,English,N,47
659,53,B,Consistent,Fast,Science,Y,54
660,51,B,Improving,Fast,Geography,N,51
661,35,A,Improving,Fast,History,Y,33
662,60,C,Declining,Fast,History,N,51
663,37,A,Improving,Fast,English,Y,34
664,30,A,Declining,Slow,Math,Y,25
665,79,C,Declining,Fast,Math,Y,80
666,40,B,Consistent,Fast,English,N,46
667,99,D,Improving,Fast,English,N,106
668,67,C,Improving,Average,English,Y,73
669,48,B,Consistent,Slow,Math,Y,55
670,69,C,Declining,Fast,Science,Y,56
671,64,C,Consistent,Average,English,Y,59
672,65,C,Consistent,Average,Geography,N,54
673,71,C,Declining,Average,Math,Y,77
674,89,D,Declining,Fast,History,N,76
675,94,D,Consistent,Slow,Math,Y,107
676,78,C,Consistent,Slow,History,N,93
677,62,C,Declining,Average,Science,N,73
678,93,D,Declining,Average,English,N,86
679,99,D,Consistent,Slow,Math,Y,86
680,66,C,Improving,Slow,Math,Y,61
681,63,C,Improving,Slow,History,Y,58
682,50,B,Consistent,Average,English,N,40
683,64,C,Improving,Fast,Math,N,71
684,79,C,Declining,Average,Math,N,89
685,30,A,Improving,Slow,Science,N,28
686,80,D,Consistent,Fast,English,Y,64
687,93,D,Declining,Slow,English,N,85
688,93,D,Declining,Average,Science,N,90
689,96,D,Improving,Fast,Science,N,107
690,83,D,Improving,Slow,History,N,73
691,54,B,Declining,Slow,Math,Y,62
692,60,C,Consistent,Slow,Geography,Y,56
693,39,A,Consistent,Fast,History,Y,42
694,30,A,Improving,Average,Geography,N,30
695,45,B,Consistent,Average,English,N,37
696,42,B,Consistent,Average,History,N,44
697,34,A,Consistent,Average,Math,N,30
698,36,A,Declining,Fast,Math,N,40
699,66,C,Improving,Fast,Science,Y,61
700,49,B,Improving,Fast,Geography,N,43
701,84,D,Declining,Average,Geography,N,80
702,39,A,Declining,Fast,Science,N,45
703,60,C,Declining,Fast,History,N,55
704,50,B,Consistent,Slow,English,Y,53
705,98,D,Improving,Fast,Math,Y,92
706,57,B,Improving,Fast,Math,N,67
707,32,A,Consistent,Average,Geography,N,36
708,36,A,Consistent,Average,Geography,N,36
709,68,C,Improving,Average,English,N,74
710,69,C,Consistent,Slow,Math,N,64
711,93,D,Consistent,Slow,English,N,99
712,84,D,Improving,Fast,Geography,Y,74
713,48,B,Improving,Slow,Science,Y,54
714,87,D,Improving,Fast,Geography,Y,71
715,51,B,Consistent,Average,Geography,N,51
716,68,C,Consistent,Slow,English,Y,77
717,69,C,Consistent,Fast,English,N,56
718,71,C,Consistent,Slow,English,Y,85
719,100,F,Improving,Fast,English,Y,119
720,50,B,Improving,Slow,Math,N,56
721,66,C,Improving,Fast,History,Y,54
722,74,C,Declining,Slow,English,N,63
723,89,D,Consistent,Fast,Math,Y,71
724,75,C,Declining,Slow,History,N,75
725,57,B,Improving,Average,History,N,64
726,92,D,Declining,Fast,English,Y,106
727,87,D,Improving,Slow,Science,Y,99
728,31,A,Improving,Slow,Math,N,27
729,66,C,Declining,Slow,Math,Y,58
730,63,C,Improving,Fast,Geography,Y,64
731,59,B,Consistent,Fast,Geography,Y,62
732,40,B,Declining,Slow,History,N,43
733,80,D,Declining,Average,History,N,66
734,54,B,Consistent,Average,English,Y,51
735,57,B,Declining,Slow,Science,N,55
736,81,D,Declining,Average,Science,Y,91
737,48,B,Improving,Fast,English,N,44
738,40,B,Declining,Average,Geography,Y,37
739,90,D,Improving,Fast,Math,N,96
740,91,D,Consistent,Average,History,N,100
741,71,C,Declining,Fast,Science,N,63
742,59,B,Declining,Fast,Science,N,63
743,35,A,Consistent,Fast,English,Y,35
744,85,D,Declining,Fast,English,Y,76
745,68,C,Consistent,Fast,History,Y,61
746,60,C,Declining,Average,Math,N,49
747,51,B,Improving,Fast,Math,N,48
748,56,B,Consistent,Average,English,Y,58
749,59,B,Consistent,Slow,History,Y,52
750,70,C,Consistent,Fast,Science,Y,59
751,44,B,Declining,Fast,History,Y,44
752,79,C,Declining,Average,Geography,N,80
753,56,B,Improving,Slow,Science,Y,46
754,61,C,Improving,Average,History,N,52
755,65,C,Improving,Slow,English,Y,69
756,82,D,Consistent,Slow,Science,Y,96
757,75,C,Improving,Average,Science,N,69
758,98,D,Consistent,Average,Science,Y,115
759,54,B,Improving,Fast,Science,Y,54
760,93,D,Consistent,Slow,Geography,Y,89
761,97,D,Consistent,Fast,English,Y,97
762,35,A,Improving,Slow,Math,N,31
763,47,B,Improving,Slow,Science,Y,41
764,38,A,Improving,Average,History,N,43
765,63,C,Improving,Average,History,N,57
766,81,D,Improving,Average,Science,N,87
767,45,B,Declining,Average,English,N,39
768,94,D,Declining,Fast,English,N,77
769,85,D,Consistent,Average,English,N,85
770,40,B,Declining,Slow,Science,Y,46
771,51,B,Consistent,Slow,Math,Y,46
772,75,C,Improving,Average,Geography,Y,63
773,58,B,Declining,Slow,Geography,Y,61
774,73,C,Improving,Fast,Science,Y,62
775,72,C,Consistent,Slow,English,Y,58
776,39,A,Declining,Average,Science,Y,36
777,33,A,Declining,Average,Geography,Y,31
778,68,C,Declining,Fast,Math,N,74
779,58,B,Declining,Average,Science,N,49
780,42,B,Declining,Slow,Geography,N,42
781,66,C,Consistent,Average,Science,Y,66
782,32,A,Declining,Average,Math,N,34
783,62,C,Consistent,Slow,Science,N,53
784,72,C,Improving,Average,Geography,Y,78
785,71,C,Declining,Slow,Science,N,72
786,44,B,Consistent,Fast,History,Y,46
787,39,A,Improving,Slow,History,Y,35
788,64,C,Declining,Average,Geography,Y,55
789,32,A,Improving,Slow,History,Y,27
790,48,B,Improving,Average,History,N,40
791,83,D,Improving,Slow,Geography,Y,89
792,74,C,Declining,Slow,Geography,N,65
793,78,C,Declining,Average,Science,N,67
794,90,D,Improving,Slow,Geography,Y,80
795,67,C,Consistent,Average,Geography,Y,57
796,47,B,Improving,Average,English,N,47
797,39,A,Consistent,Slow,English,Y,38
798,75,C,Consistent,Average,Science,Y,72
799,98,D,Declining,Fast,Science,Y,83
800,39,A,Consistent,Fast,Math,N,40
801,52,B,Consistent,Slow,Geography,N,55
802,88,D,Improving,Slow,Math,N,88
803,51,B,Improving,Average,Geography,N,44
804,36,A,Consistent,Slow,English,N,42
805,91,D,Declining,Fast,Math,Y,82
806,83,D,Declining,Fast,Science,Y,80
807,77,C,Declining,Slow,Science,Y,76
808,60,C,Consistent,Average,Science,N,51
809,36,A,Consistent,Slow,History,Y,32
810,30,A,Declining,Average,History,N,28
811,79,C,Declining,Fast,Geography,Y,75
812,31,A,Declining,Fast,Science,N,34
813,38,A,Declining,Fast,Math,N,45
814,36,A,Declining,Slow,Geography,Y,43
815,55,B,Improving,Average,Geography,Y,44
816,64,C,Improving,Slow,Math,N,73
817,34,A,Declining,Fast,History,Y,31
818,77,C,Improving,Slow,Math,Y,89
819,35,A,Improving,Average,Math,N,32
820,76,C,Consistent,Average,Geography,N,90
821,47,B,Declining,Fast,English,Y,40
822,61,C,Consistent,Fast,Geography,N,59
823,42,B,Improving,Slow,Geography,N,36
824,46,B,Declining,Fast,Math,N,46
825,52,B,Consistent,Fast,Geography,Y,55
826,95,D,Consistent,Slow,Math,N,83
827,42,B,Declining,Average,Science,Y,46
828,42,B,Improving,Average,Math,N,36
829,41,B,Improving,Average,Science,N,43
830,64,C,Consistent,Average,Math,Y,66
831,40,B,Declining,Fast,Geography,Y,39
832,68,C,Declining,Fast,English,Y,63
833,31,A,Improving,Slow,Science,N,28
834,54,B,Consistent,Fast,Geography,Y,65
835,81,D,Improving,Slow,Geography,N,91
836,80,D,Consistent,Fast,Science,Y,72
837,80,D,Improving,Fast,Math,Y,94
838,33,A,Consistent,Fast,Geography,N,31
839,58,B,Declining,Average,Geography,Y,68
840,34,A,Improving,Fast,English,N,33
841,37,A,Declining,Average,History,N,30
842,94,D,Declining,Average,History,N,95
843,48,B,Improving,Fast,History,N,56
844,41,B,Declining,Average,Science,Y,47
845,88,D,Consistent,Fast,History,Y,104
846,68,C,Declining,Fast,History,Y,74
847,82,D,Improving,Slow,History,N,91
848,82,D,Improving,Fast,Geography,Y,76
849,31,A,Improving,Slow,Science,Y,33
850,49,B,Improving,Average,Science,Y,46
851,69,C,Declining,Fast,History,N,56
852,43,B,Improving,Slow,History,N,35
853,56,B,Declining,Fast,Science,N,54
854,61,C,Improving,Fast,Science,N,68
855,49,B,Declining,Fast,Geography,N,43
856,93,D,Consistent,Average,Geography,Y,107
857,93,D,Consistent,Slow,Math,N,78
858,42,B,Improving,Slow,English,Y,44
859,73,C,Declining,Average,Geography,Y,86
860,99,D,Improving,Fast,History,Y,97
861,84,D,Consistent,Average,Science,Y,92
862,35,A,Declining,Slow,English,N,36
863,61,C,Declining,Slow,Science,Y,65
864,49,B,Improving,Slow,English,Y,44
865,48,B,Declining,Slow,English,N,56
866,50,B,Declining,Slow,Science,N,43
867,82,D,Improving,Average,English,N,91
868,47,B,Improving,Average,Math,Y,43
869,94,D,Consistent,Slow,English,Y,93
870,65,C,Consistent,Average,Math,Y,71
871,60,C,Declining,Fast,Geography,Y,66
872,66,C,Declining,Slow,History,N,63
873,33,A,Declining,Fast,Math,N,31
874,84,D,Declining,Average,English,Y,80
875,46,B,Improving,Average,English,Y,37
876,81,D,Declining,Fast,Math,N,77
877,44,B,Consistent,Fast,Science,N,46
878,52,B,Improving,Slow,Math,N,49
879,77,C,Improving,Fast,Math,N,70
880,41,B,Improving,Average,English,Y,37
881,44,B,Consistent,Slow,English,Y,36
882,76,C,Declining,Average,History,Y,87
883,35,A,Declining,Slow,Science,Y,39
884,87,D,Declining,Average,English,Y,76
885,65,C,Consistent,Slow,English,N,56
886,71,C,Improving,Average,Science,N,58
887,68,C,Consistent,Slow,English,N,64
888,80,D,Declining,Fast,Science,Y,78
889,68,C,Consistent,Average,Science,Y,81
890,73,C,Declining,Fast,History,Y,67
891,61,C,Consistent,Slow,English,Y,64
892,73,C,Consistent,Average,History,N,87
893,49,B,Improving,Average,History,N,50
894,95,D,Declining,Fast,Geography,Y,78
895,57,B,Consistent,Slow,Math,N,55
896,60,C,Declining,Average,English,N,54
897,34,A,Consistent,Slow,English,N,39
898,56,B,Improving,Slow,Math,N,63
899,30,A,Improving,Slow,English,N,35
900,99,D,Improving,Slow,Math,Y,80
901,63,C,Declining,Average,Science,N,57
902,87,D,Improving,Fast,Science,Y,82
903,74,C,Consistent,Average,History,Y,82
904,96,D,Improving,Average,English,Y,104
905,78,C,Improving,Fast,Math,N,74
906,72,C,Improving,Fast,Science,N,63
907,96,D,Improving,Fast,History,Y,93
908,54,B,Declining,Slow,Math,N,56
909,67,C,Declining,Slow,Science,Y,73
910,67,C,Consistent,Average,History,Y,64
911,30,A,Improving,Slow,English,N,35
912,92,D,Consistent,Fast,History,N,94
913,64,C,Declining,Fast,Math,Y,69
914,32,A,Declining,Fast,History,N,31
915,46,B,Declining,Fast,Geography,Y,44
916,80,D,Declining,Average,Math,N,86
917,36,A,Improving,Average,English,N,41
918,100,F,Declining,Average,Math,N,114
919,51,B,Improving,Slow,History,N,56
920,98,D,Consistent,Slow,Science,Y,101
921,84,D,Consistent,Slow,Science,Y,72
922,62,C,Declining,Slow,English,Y,63
923,55,B,Improving,Average,Science,Y,63
924,99,D,Consistent,Slow,History,N,90
925,99,D,Improving,Average,Math,Y,90
926,70,C,Improving,Slow,English,Y,65
927,67,C,Declining,Slow,Geography,Y,71
928,81,D,Improving,Fast,English,Y,71
929,52,B,Declining,Fast,English,N,45
930,71,C,Improving,Slow,History,N,60
931,82,D,Declining,Slow,Geography,Y,91
932,57,B,Improving,Average,Math,N,48
933,96,D,Consistent,Average,Science,Y,78
934,46,B,Improving,Slow,Science,Y,53
935,61,C,Improving,Average,Math,Y,51
936,35,A,Improving,Fast,History,Y,29
937,85,D,Declining,Average,Science,Y,78
938,72,C,Declining,Fast,Geography,N,68
939,64,C,Improving,Average,History,N,60
940,95,D,Declining,Fast,English,N,109
941,52,B,Declining,Slow,Math,Y,53
942,73,C,Declining,Slow,History,N,79
943,50,B,Declining,Fast,Science,N,55
944,47,B,Declining,Slow,Geography,Y,44
945,96,D,Consistent,Average,Science,N,98
946,37,A,Improving,Fast,English,Y,40
947,47,B,Improving,Average,Math,N,47
948,60,C,Improving,Slow,Science,N,68
949,55,B,Consistent,Fast,English,N,51
950,45,B,Declining,Slow,Math,N,43
951,34,A,Improving,Fast,Science,Y,34
952,34,A,Declining,Slow,Science,N,36
953,41,B,Declining,Slow,Math,N,44
954,81,D,Improving,Average,History,N,86
955,79,C,Declining,Slow,Geography,N,65
956,91,D,Declining,Slow,English,Y,75
957,91,D,Improving,Average,English,N,83
958,59,B,Consistent,Average,Science,N,48
959,97,D,Consistent,Slow,Geography,N,104
960,64,C,Improving,Average,Math,Y,72
961,91,D,Declining,Average,History,Y,107
962,61,C,Declining,Fast,English,Y,53
963,32,A,Consistent,Slow,History,Y,36
964,60,C,Declining,Fast,Math,N,72
965,68,C,Improving,Slow,Math,Y,64
966,52,B,Consistent,Average,Math,Y,59
967,69,C,Improving,Fast,Geography,N,56
968,94,D,Improving,Average,English,Y,88
969,72,C,Declining,Fast,Math,N,66
970,43,B,Consistent,Fast,Geography,N,39
971,48,B,Improving,Slow,History,N,52
972,87,D,Declining,Slow,Math,N,87
973,55,B,Improving,Average,Science,N,54
974,69,C,Improving,Fast,History,Y,74
975,60,C,Consistent,Average,Science,Y,52
976,97,D,Consistent,Slow,Science,Y,100
977,60,C,Improving,Fast,Science,N,59
978,91,D,Declining,Slow,Math,Y,79
979,89,D,Declining,Slow,Science,N,102
980,91,D,Declining,Fast,History,Y,92
981,97,D,Consistent,Fast,Geography,N,78
982,60,C,Declining,Fast,Geography,Y,59
983,58,B,Consistent,Average,Math,Y,50
984,49,B,Improving,Average,English,Y,44
985,90,D,Improving,Slow,English,Y,88
986,54,B,Consistent,Average,Geography,Y,51
987,75,C,Consistent,Fast,Math,N,69
988,59,B,Consistent,Slow,History,N,48
989,36,A,Declining,Average,Science,N,32
990,59,B,Improving,Slow,Math,N,49
991,87,D,Improving,Slow,English,N,99
992,47,B,Declining,Fast,Math,N,51
993,80,D,Declining,Slow,History,N,70
994,44,B,Improving,Fast,History,Y,42
995,57,B,Improving,Slow,History,Y,53
996,51,B,Improving,Average,Math,N,47
997,46,B,Declining,Slow,Math,Y,53
998,45,B,Declining,Slow,Science,Y,43
999,40,B,Consistent,Slow,Math,N,48
1000,72,C,Improving,Average,History,Y,77
